epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,23968.974609375,70.89283752441406,129.4281768798828,8.607253074645996
1,86.81583404541016,6.439400672912598,35.37232208251953,4.446804046630859
2,5.258265018463135,1.7050033807754517,2.7488017082214355,1.2286100387573242
3,2.685624361038208,1.2126262187957764,2.226902723312378,1.048527717590332
4,2.2341885566711426,1.0648351907730103,1.8745486736297607,0.9213841557502747
5,2.069464683532715,1.0465608835220337,1.5351853370666504,0.8634627461433411
6,1.6403331756591797,0.8803094029426575,1.324950933456421,0.7327367663383484
7,1.507968783378601,0.8273366689682007,1.2018145322799683,0.7039054036140442
8,1.4177652597427368,0.7872710824012756,1.1751400232315063,0.7816759347915649
9,1.3493658304214478,0.736472487449646,1.0651118755340576,0.5747496485710144
10,1.264737606048584,0.6814134120941162,1.0774071216583252,0.6934376955032349
11,1.3464969396591187,0.7242332696914673,1.1746373176574707,0.6753851175308228
12,1.214721918106079,0.6383460164070129,1.0070197582244873,0.6485280394554138
13,1.2425246238708496,0.6606932878494263,0.9811327457427979,0.6283917427062988
14,1.3274952173233032,0.714016854763031,0.9673842191696167,0.5153690576553345
15,1.2727162837982178,0.6889935731887817,1.1355077028274536,0.6288173794746399
16,1.3051259517669678,0.7034760117530823,1.5895479917526245,0.8444086313247681
17,1.29924476146698,0.6881029009819031,0.9590891003608704,0.5690026879310608
18,1.1773017644882202,0.630510151386261,1.0049419403076172,0.6158418655395508
19,1.2106326818466187,0.6570853590965271,1.1595066785812378,0.7869596481323242
20,1.2475781440734863,0.6729950308799744,1.0920677185058594,0.7786563038825989
21,1.3040099143981934,0.6933234333992004,1.0281020402908325,0.647731363773346
22,1.2083160877227783,0.6445780396461487,0.94399094581604,0.5501214265823364
23,1.2459769248962402,0.6831909418106079,1.038831353187561,0.7524366974830627
24,1.4077826738357544,0.7534686923027039,1.1463444232940674,0.7496131062507629
25,1.5286719799041748,0.8073200583457947,0.9298453330993652,0.492855429649353
26,1.1652801036834717,0.6227255463600159,0.9694460034370422,0.541153609752655
27,1.293440818786621,0.6965891122817993,0.9327128529548645,0.5205694437026978
28,1.2606772184371948,0.6673293709754944,0.9338513016700745,0.5570806860923767
29,1.2115031480789185,0.6550759077072144,0.9193248748779297,0.5221340656280518
30,1.309834361076355,0.7177900671958923,1.324485421180725,0.656933605670929
31,1.2742235660552979,0.6915152668952942,0.9672276973724365,0.5884842872619629
32,1.2628337144851685,0.6910446882247925,1.0208145380020142,0.587184488773346
33,1.2427880764007568,0.6702799201011658,1.1248730421066284,0.7750805020332336
34,1.425146460533142,0.7632197737693787,1.209418535232544,0.6805804967880249
35,1.4931076765060425,0.7960047721862793,1.1925448179244995,0.7564559578895569
36,1.2995028495788574,0.7128729820251465,1.0126135349273682,0.6652176976203918
37,1.229552984237671,0.6802185773849487,1.6023138761520386,0.7515180706977844
38,1.276148796081543,0.698577880859375,1.0001121759414673,0.4822216033935547
39,1.234561562538147,0.671557605266571,1.1807552576065063,0.845231294631958
40,1.2764583826065063,0.7100083231925964,0.9632076025009155,0.4855539798736572
41,1.2652525901794434,0.6920673251152039,0.9756812453269958,0.4915231764316559
42,1.3681097030639648,0.7382680177688599,0.9852625131607056,0.6270115971565247
43,1.6218973398208618,0.8292577266693115,1.7634589672088623,0.9158969521522522
44,1.4779942035675049,0.788627564907074,1.853934645652771,0.9099507927894592
45,1.3300186395645142,0.7218859791755676,1.1888456344604492,0.80999755859375
46,1.3880951404571533,0.7627957463264465,1.6257156133651733,0.8691871762275696
47,1.4848679304122925,0.8102016448974609,1.0262703895568848,0.5249508619308472
48,1.3994022607803345,0.7509160041809082,1.5117552280426025,1.0703001022338867
49,1.4268081188201904,0.7612152099609375,1.1336491107940674,0.7791829705238342
