Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge
2174,20101101,20230409,236,51.6255,10.3695
2201,20050801,20230409,1,54.575,13.1044
2211,20041001,20230409,295,50.737,7.6525
2252,20050701,20230409,271,50.8992,14.7456
2261,19480101,20230409,565,50.3123,11.876
2290,19470101,20230409,977,47.8009,11.0108
2306,20050801,20230409,8,54.3194,10.6732
2319,20050601,20230409,685,47.8823,11.6961
2323,20060701,20230409,110,51.8529,9.4953
2362,20040801,20230409,328,50.5651,7.4843
2429,20020101,20230409,20,53.9897,9.5697
2444,19910801,20230409,155,50.9251,11.583
2480,20040901,20230409,108,50.0643,8.993
2483,19510101,20230409,839,51.1803,8.4891
2485,20110502,20230409,489,48.917,9.6871
2486,20050301,20230409,271,49.4262,7.7557
2497,20040801,20230409,505,50.5014,6.5264
2559,19550101,20230409,705,47.7233,10.3348
2564,20020101,20230409,28,54.3776,10.1424
2575,20070523,20230409,432,49.1804,9.98
2578,20040701,20230409,14,53.9995,11.4341
2597,19480101,20230409,282,50.224,10.0792
2600,20050301,20230409,193,49.7363,10.1781
2601,19480101,20230409,822,50.2218,8.4469
2618,20041001,20230409,732,50.8458,10.4803
2627,20040701,20230409,128,51.5554,13.8845
2629,20040701,20230409,46,51.7612,6.0954
2638,19650701,20230409,974,48.1054,8.7548
2641,20040901,20230409,90,51.5185,12.9065
2667,19600101,20230409,92,50.8645,7.1575
2680,20050601,20230409,289,50.284,10.4456
2700,20041201,20230409,416,48.8302,11.4872
2704,20040501,20230409,76,51.7511,12.0094
2708,20060701,20230409,742,47.6652,11.0805
2712,19710101,20230409,428,47.6952,9.1307
2750,20051101,20230409,310,50.2524,11.3209
2794,19890101,20230409,40,52.9362,12.4093
2812,19950101,20230409,156,48.3647,7.828
2814,19750601,20230409,687,48.5122,9.7644
2856,20040701,20230409,91,51.9173,13.0878
2878,20170801,20230409,117,51.3909,11.8786
2907,19910101,20230409,7,54.7903,8.9514
2925,19560101,20230409,356,51.3932,10.3123
2928,19510101,20230409,138,51.3151,12.4462
2932,19720501,20230409,131,51.4347,12.2396
2947,20061001,20230409,286,51.1333,8.0348
2951,20040601,20230409,20,53.1007,11.4864
2953,20070401,20230409,854,47.8597,8.2308
2968,20081201,20230409,43,50.9894,6.9777
2985,19910305,20230409,321,50.9383,14.2094
3015,19510101,20230409,98,52.2085,14.118
3028,19710401,20230409,157,51.7854,8.8388
3031,20040701,20230409,92,51.6336,8.3945
3032,19490101,20230409,25,55.011,8.4125
3034,20070101,20230409,496,50.4505,11.635
3042,20080601,20230409,230,50.5617,8.2386
3083,20050101,20230409,57,51.9267,13.8797
3086,19850301,20230409,15,53.8025,10.6989
3093,19541201,20230409,16,52.9724,11.1374
3098,19940101,20230409,387,51.2452,7.6425
3126,19550101,20230409,79,52.1029,11.5827
3137,20080501,20230409,195,49.9656,8.2139
3147,19850101,20230409,390,48.7548,12.2118
3155,20040801,20230409,413,50.1015,6.8009
3158,19890101,20230409,12,52.5468,14.5453
3164,20060701,20230409,187,50.8492,8.7745
3166,19820101,20230409,639,50.6511,13.1469
3167,19621201,20230409,547,50.6621,7.9603
3196,19810101,20230409,81,53.3222,11.9321
3204,20080701,20230409,429,50.7335,10.8815
3226,20060801,20230409,107,51.7259,11.5109
3231,19790101,20230409,450,50.5611,10.3771
3234,20050201,20230409,158,51.1294,13.4328
3244,19750601,20230409,614,47.9821,10.1384
3257,20040601,20221001,251,49.4773,9.7622
3268,20021101,20230409,900,48.1694,8.9433
3271,20041101,20230409,314,48.8548,12.9189
3278,20090401,20230409,354,48.5377,9.2734
3284,20050501,20230409,240,49.6692,9.0085
3287,19871001,20230409,453,49.7177,9.0997
3289,20041101,20230409,356,50.7281,11.7838
3307,20080401,20230102,984,47.4779,11.2653
3319,20060901,20230409,239,49.7644,9.253
3340,20050501,20220329,265,50.4383,7.8061
3348,20040601,20230409,241,51.7209,9.8351
3362,20020101,20230409,243,48.9721,8.8735
3366,19550101,20230409,406,48.279,12.5024
3376,19910101,20230409,63,52.5176,14.1232
3379,19970701,20230409,515,48.1632,11.5429
3402,20021101,20230409,755,48.3851,9.4837
3426,20040601,20230409,127,51.566,14.7008
3442,20041001,20230409,149,50.3574,8.7506
3485,20050501,20230409,486,48.3115,10.3773
3490,20040901,20230409,111,50.5346,7.0853
3509,20041001,20230409,78,53.102,13.0421
3513,19890501,20230409,845,50.5003,11.1345
3527,20040501,20230409,500,50.8923,9.405
3540,20041101,20230409,195,50.8446,7.372
3545,20050301,20230409,236,49.344,7.2297
3571,20080301,20230409,452,49.8174,11.8638
3591,20040601,20230409,350,50.6743,6.424
3612,20070401,20230409,25,52.6711,9.2229
3621,20060101,20230409,435,48.8253,10.5067
3631,19490101,20230409,12,53.7123,7.1519
3660,19950302,20230409,485,50.3602,6.8697
3667,20050301,20230409,369,49.4258,11.2539
3668,19510101,20230409,314,49.503,11.0549
3679,20061101,20230409,518,47.6187,12.1665
3730,19480101,20230409,806,47.3984,10.2759
3734,20040701,20230409,230,49.128,9.3525
3739,20050301,20230409,596,49.4521,12.4365
3761,19550101,20230409,276,49.207,9.5176
3811,19820701,20230409,150,51.296,13.0928
3821,19840801,20230409,244,51.0872,11.9293
3836,20060301,20230409,314,50.4538,10.2211
3857,20050101,20230409,886,47.6362,10.3892
3875,20050101,20230409,549,49.151,11.6896
3897,20020101,20230409,2,54.0893,10.8773
3904,20040901,20230409,152,49.5354,6.3789
3925,20050901,20230409,332,48.9329,8.6973
3927,20040701,20230409,630,47.9345,9.2869
3939,20041001,20230409,385,49.1912,7.5879
3946,19510101,20230409,387,50.4818,12.13
3975,20050301,20230409,522,49.4777,11.5357
3987,18930101,20230409,81,52.3812,13.0622
4024,19820101,20230409,40,54.3643,13.4771
4032,20061201,20230409,142,51.7953,11.132
4036,20070301,20230409,204,51.3895,11.5412
4039,19880111,20230409,11,53.7331,9.8776
4063,20030701,20230409,41,52.4461,8.5906
4094,20040601,20230409,441,47.8062,9.6206
4104,19480101,20230409,365,49.0425,12.1019
4127,20050101,20230409,347,50.9906,7.6958
4160,20040701,20230409,478,48.7425,8.924
4169,20021101,20230409,131,48.6703,7.9939
4175,20040601,20230409,283,47.559,7.7721
4177,20081101,20230409,116,48.9726,8.3301
4189,20040801,20230409,534,48.1479,9.4596
4261,20060301,20230409,442,47.8753,12.128
4271,19470101,20230409,5,54.1803,12.0808
4275,20041201,20230409,32,53.1289,9.3398
4280,20020101,20230409,386,49.2162,11.1035
4287,20050101,20230409,415,49.3849,10.1732
4300,20040701,20230409,589,48.1815,8.6356
4301,20050301,20230409,102,49.8502,7.871
4323,20050301,20230409,461,49.6468,7.8837
4336,19620501,20230409,319,49.2128,7.1077
4349,20040601,20230409,251,48.9569,9.0711
4354,20060101,20230409,457,48.7832,13.3146
4371,19500101,20230409,135,52.1042,8.7521
4377,20050901,20230409,518,50.3518,10.0034
4393,19991201,20230409,5,54.3279,8.6031
4411,20020124,20230409,155,49.9195,8.9671
4445,19891001,20230409,609,51.7658,10.6533
4464,19890801,20230409,501,50.5679,11.8041
4466,19510101,20230409,43,54.5275,9.5487
4480,20040901,20230409,230,50.3447,9.5533
4501,19780701,20230409,938,50.6545,10.7696
4508,20040801,20230409,649,50.2968,6.4194
4548,20070701,20230409,608,50.1847,12.0791
4559,20050501,20230409,398,49.1644,12.6175
4560,20050201,20220102,265,50.4925,9.1226
4592,20051201,20230409,356,49.3278,12.0871
4605,20041101,20230409,277,50.6441,11.1936
4625,19500101,20230409,59,53.6424,11.3871
4642,19761001,20230409,21,52.8911,11.7297
4651,20041101,20230409,189,51.904,10.1885
4703,20021101,20230409,581,48.0719,9.1943
4704,20050501,20230409,508,47.5776,9.7404
4706,20050301,20230409,358,48.2718,13.0273
4709,20111101,20230409,445,49.9996,7.5981
4745,19660101,20230409,75,52.9604,9.793
4763,20041001,20230409,265,51.0607,9.9266
4841,20040701,20230409,0,53.6946,8.8735
4857,20040901,20230409,2,53.5534,9.6097
4878,20050201,20230409,504,51.6646,10.8811
4887,19480101,20230409,734,48.6656,9.8648
4896,20050701,20221130,40,54.6654,9.805
4911,19940501,20230409,351,48.8275,12.5597
4928,19770701,20230409,314,48.8281,9.2
