,weather_station,temperature,percipitation,month,day,hour,accidents,road_usage
112,164,-0.3,0.0,1,5,16,0,1.15
113,164,-0.72,0.0,1,5,17,0,1.21
114,164,-1.26,0.0,1,5,18,0,0.58
115,164,-1.42,0.0,1,5,19,0,0.02
116,164,-1.66,0.02,1,5,20,0,-0.45
117,164,-1.46,0.0,1,5,21,0,-0.65
118,164,-1.52,0.0,1,5,22,0,-0.81
119,164,-1.4,0.0,1,5,23,0,-0.95
120,164,-1.58,0.53,1,6,0,0,-1.0
121,164,-1.55,0.35,1,6,1,0,-1.12
122,164,-1.55,0.03,1,6,2,0,-1.14
123,164,-1.57,0.0,1,6,3,0,-1.13
124,164,-1.65,0.0,1,6,4,0,-1.08
125,164,-1.68,0.0,1,6,5,0,-0.95
126,164,-1.68,0.0,1,6,6,0,-0.46
127,164,-1.75,0.0,1,6,7,1,0.18
128,164,-1.68,0.03,1,6,8,0,0.27
129,164,-1.32,0.03,1,6,9,0,0.21
130,164,-0.97,0.0,1,6,10,0,0.62
131,164,-0.55,0.0,1,6,11,0,0.94
132,164,-0.17,0.0,1,6,12,0,1.0
133,164,0.25,0.0,1,6,13,0,1.12
134,164,0.5,0.0,1,6,14,0,1.29
135,164,0.6,0.03,1,6,15,0,1.41
136,164,0.72,0.0,1,6,16,0,1.25
137,164,0.87,0.0,1,6,17,0,0.95
138,164,0.82,0.0,1,6,18,0,0.48
139,164,0.95,0.0,1,6,19,0,0.04
140,164,1.0,0.0,1,6,20,0,-0.35
141,164,0.9,0.0,1,6,21,0,-0.59
142,164,0.93,0.0,1,6,22,0,-0.73
143,164,1.07,0.0,1,6,23,0,-0.89
144,164,0.98,0.0,1,7,0,0,-1.0
145,164,0.88,0.0,1,7,1,0,-1.08
146,164,0.65,0.0,1,7,2,1,-1.12
147,164,0.6,0.05,1,7,3,0,-1.13
148,164,0.6,0.23,1,7,4,0,-1.12
149,164,0.9,0.05,1,7,5,0,-1.06
150,164,1.12,0.07,1,7,6,0,-0.94
151,164,0.88,0.03,1,7,7,0,-0.91
152,164,0.95,0.0,1,7,8,0,-0.7
153,164,1.65,0.0,1,7,9,1,-0.25
154,164,2.25,0.0,1,7,10,0,0.44
155,164,2.75,0.0,1,7,11,0,0.98
156,164,3.02,0.0,1,7,12,0,1.06
157,164,3.05,0.05,1,7,13,1,0.96
158,164,2.98,0.0,1,7,14,0,1.03
159,164,2.5,0.08,1,7,15,0,0.92
160,164,2.42,0.1,1,7,16,0,0.58
161,164,2.48,0.05,1,7,17,0,0.33
162,164,2.38,0.12,1,7,18,0,0.08
163,164,1.88,0.03,1,7,19,0,-0.25
164,164,1.52,0.0,1,7,20,0,-0.55
165,164,1.15,0.05,1,7,21,0,-0.65
166,164,0.75,0.1,1,7,22,0,-0.8
167,164,0.73,0.1,1,7,23,0,-0.9
168,164,3.4,0.0,2,1,0,0,-1.07
169,164,2.95,0.0,2,1,1,0,-1.06
170,164,2.75,0.0,2,1,2,0,-1.1
171,164,2.35,0.0,2,1,3,0,-1.14
172,164,2.45,0.0,2,1,4,0,-1.15
173,164,1.85,0.0,2,1,5,0,-1.11
174,164,1.65,0.0,2,1,6,0,-1.05
175,164,1.85,0.0,2,1,7,0,-1.05
176,164,2.38,0.0,2,1,8,0,-0.97
177,164,3.72,0.0,2,1,9,0,-0.67
178,164,5.25,0.03,2,1,10,0,-0.22
179,164,6.38,0.45,2,1,11,0,0.18
180,164,7.07,0.65,2,1,12,1,0.37
181,164,7.8,0.3,2,1,13,0,0.35
182,164,8.18,0.1,2,1,14,0,0.58
183,164,8.15,0.1,2,1,15,0,0.55
184,164,7.38,0.25,2,1,16,0,0.31
185,164,6.1,0.12,2,1,17,0,0.25
186,164,5.45,0.05,2,1,18,0,0.12
187,164,5.15,0.0,2,1,19,0,-0.2
188,164,4.65,0.0,2,1,20,0,-0.52
189,164,4.15,0.0,2,1,21,0,-0.73
190,164,3.82,0.0,2,1,22,0,-0.89
191,164,3.85,0.03,2,1,23,0,-0.96
192,164,3.1,0.0,2,2,0,0,-1.08
193,164,2.08,0.33,2,2,1,0,-1.1
194,164,2.1,0.0,2,2,2,0,-1.11
195,164,1.68,0.0,2,2,3,0,-1.1
196,164,0.73,0.28,2,2,4,0,-1.04
